序列(Payload),序列位置,序列长度,来源reads编号及方向,Witness值,Witness阈值
null,0,8123,+0;,358,390
null,0,8122,+0;,360,390
null,0,8124,+0;,353,390
null,1,8123,+0;,355,390
null,1,8122,+0;,358,390
null,1,8124,+0;,353,390
null,2,8123,+0;,354,390
null,2,8122,+0;,357,390
null,2,8124,+0;,355,390
null,3,8123,+0;,350,390
null,3,8122,+0;,349,390
null,3,8124,+0;,344,390
null,4,8123,+0;,344,390
null,4,8122,+0;,351,390
null,4,8124,+0;,337,390
null,5,8123,+0;,337,390
null,5,8122,+0;,344,390
null,5,8124,+0;,337,390
null,6,8123,+0;,338,390
null,6,8122,+0;,338,390
null,6,8124,+0;,342,390
null,7,8123,+0;,343,390
null,7,8122,+0;,337,390
null,7,8124,+0;,344,390
null,8,8123,+0;,337,390
null,8,8122,+0;,338,390
null,8,8124,+0;,337,390
null,9,8123,+0;,348,390
null,9,8122,+0;,348,390
null,9,8124,+0;,351,390
null,10,8123,+0;,347,390
null,10,8122,+0;,345,390
null,10,8124,+0;,350,390
null,11,8123,+0;,352,390
null,11,8122,+0;,350,390
null,11,8124,+0;,350,390
null,12,8123,+0;,350,390
null,12,8122,+0;,352,390
null,12,8124,+0;,351,390
null,13,8123,+0;,345,390
null,13,8122,+0;,345,390
null,13,8124,+0;,350,390
null,14,8123,+0;,350,390
null,14,8122,+0;,345,390
null,14,8124,+0;,353,390
null,15,8123,+0;,351,390
null,15,8122,+0;,348,390
null,15,8124,+0;,349,390
null,16,8123,+0;,350,390
null,16,8122,+0;,352,390
null,16,8124,+0;,350,390
null,17,8123,+0;,349,390
null,17,8122,+0;,349,390
null,17,8124,+0;,350,390
null,18,8123,+0;,347,390
null,18,8122,+0;,346,390
null,18,8124,+0;,350,390
null,19,8123,+0;,349,390
null,19,8122,+0;,346,390
null,19,8124,+0;,355,390
null,20,8123,+0;,360,390
null,20,8122,+0;,354,390
null,20,8124,+0;,355,390
null,21,8123,+0;,348,390
